variable,bfSC,ddgent,rsa,varea,vcompactness,vvolume,wcnSC
sd.hbe,-0.168970503,-0.149779168,-0.219218939,-0.229191861,0.226930964,-0.23140938,0.2513894
r.hbe.vvolume,-0.032321626,-0.062069509,-0.11623771,-0.13963405,0.067729639,-0.141689889,0.211752721
r.hbe.veccentricity,-0.002132078,0.009490509,-0.079300962,-0.118569588,0.052011147,-0.124984226,0.205916452
mean.betas,-0.077542322,-0.122655178,-0.184287069,-0.184898958,0.203082778,-0.187403694,0.203628286
r.hbe.vedge,0.013439192,-0.040004732,-0.097624744,-0.128897418,0.062299543,-0.130297334,0.200408802
r.hbe.varea,-0.022907356,-0.052493559,-0.111333403,-0.135047847,0.070437457,-0.136545034,0.200086755
mean.ESS,-0.080038541,-0.13485973,-0.190484078,-0.184655588,0.197744057,-0.18755143,0.199631677
r.hbe.rsa,-0.018488091,-0.029722909,-0.12416005,-0.130625953,0.080782376,-0.134218413,0.18672906
mean.nhbas,-0.056960513,-0.135117149,-0.173858948,-0.192778306,0.17863266,-0.207819147,0.182215409
r.vedge.vvolume,-0.132869762,-0.104335139,-0.138441821,-0.091444082,-0.038589043,-0.09043588,0.175733477
median.vedge,-0.163890057,-0.152983858,-0.145099637,-0.079817551,-0.05683527,-0.082623955,0.16362059
r.varea.vedge,-0.132562175,-0.085100426,-0.129381145,-0.07437431,-0.032865818,-0.064827278,0.158718913
r.ddgent.hbe,-0.094537042,-0.076017404,-0.119391135,-0.10568379,0.077647353,-0.115057311,0.142907093
median.varea,-0.146699353,-0.112479626,-0.125603344,-0.044559388,-0.084227614,-0.041127294,0.140446396
sum.nhbas,-0.028085185,-0.16702412,-0.170577909,-0.205263175,0.243756635,-0.219348826,0.137762227
mean.ddgent,-0.242370787,-0.33465219,-0.221140701,-0.121203796,0.012697828,-0.13296309,0.136563437
median.rsa,-0.133357345,-0.152239294,-0.154956339,-0.061434526,-0.069343138,-0.061569261,0.13445297
median.ddgent,-0.180774489,-0.216110206,-0.153461013,-0.066182502,-0.036140176,-0.069547558,0.134223671
median.vvolume,-0.14417819,-0.130079131,-0.127130764,-0.04725932,-0.083745202,-0.047756191,0.133520427
r.varea.veccentricity,-0.158875335,-0.165232136,-0.174323045,-0.082583206,-0.053984174,-0.079755771,0.131266102
mean.rsa,-0.162267995,-0.179666386,-0.176635207,-0.071315527,-0.064087229,-0.072860035,0.130235554
r.veccentricity.vvolume,-0.170748988,-0.175339135,-0.179381145,-0.087470424,-0.05053762,-0.084566749,0.128597718
r.hpshh.vsphericity,0.02844261,0.175357537,0.094563331,-0.014309375,-0.030063358,-0.016733267,0.127668384
r.vnfaces.vvolume,-0.026494558,-0.119550187,-0.092406278,-0.157973605,0.175554708,-0.17973211,0.127506704
r.varea.vnfaces,-0.021908355,-0.110188496,-0.091342868,-0.151254009,0.171970135,-0.169866975,0.126123876
sd.veccentricity,-0.08719307,-0.015976129,-0.089467112,-0.044359588,-0.061242705,-0.044434513,0.125680898
median.bfSC,-0.365345181,-0.198019086,-0.178229665,-0.121126242,0.133097166,-0.124554393,0.125482412
mean.vedge,-0.121996425,-0.059093538,-0.092959672,-0.022211999,-0.120049687,-0.021017141,0.120047058
median.veccentricity,-0.129930596,-0.066171986,-0.10075188,-0.014858825,-0.109319628,-0.009815185,0.117273516
r.bfSC.vsphericity,-0.516174615,-0.201828435,-0.2034689,-0.141823966,0.09320285,-0.133854304,0.114940323
r.rsa.vvolume,-0.047585309,-0.085807613,-0.059771807,-0.011730375,-0.075278669,-0.007923655,0.113607445
mean.bfSC,-0.336092855,-0.17336085,-0.149672696,-0.103019349,0.11400836,-0.107225669,0.112244335
sum.ISS,-0.078864985,-0.045355222,-0.106765184,-0.05319174,0.08430584,-0.047050744,0.109806158
r.veccentricity.vedge,-0.140233451,-0.147288238,-0.149234976,-0.056891792,-0.076449866,-0.053418949,0.109674536
r.veccentricity.vnfaces,-0.023632946,-0.178846154,-0.133030128,-0.143739156,0.148969452,-0.160756349,0.108494137
r.bfSC.wcnSC,-0.600256323,-0.176811347,-0.159811241,-0.135469793,0.094505495,-0.131442242,0.108446816
mean.ISS,-0.076367489,-0.044985062,-0.10513524,-0.05024815,0.082077602,-0.043951844,0.107304999
r.rsa.vnfaces,-0.073827488,-0.238657395,-0.177707818,-0.13940796,0.133758347,-0.152005889,0.106377833
mean.varea,-0.112529576,-0.055338083,-0.088123718,-0.010640675,-0.130209264,-0.009217099,0.105624639
sd.vsphericitycc,-0.006510595,0.030382775,-0.02692702,-0.023764394,-0.05330459,-0.019381934,0.103212577
mean.vvolume,-0.115388559,-0.062252221,-0.091236395,-0.009247332,-0.129880646,-0.007994637,0.100498186
r.hpshh.vsphericitym,0.066390189,0.183884537,0.106496135,-0.024695042,0.034363005,-0.026284242,0.100450865
r.rsa.vsphericity,-0.161968295,-0.099543877,-0.103575372,-0.002360797,-0.066316578,0.004481045,0.098037489
sres,-0.306937947,-0.170095649,-0.08439244,-0.089746173,0.09380824,-0.092190527,0.096806541
sum.betas,-0.05005761,-0.138616575,-0.145000056,-0.178742063,0.267178117,-0.183181316,0.096698034
r.rsa.varea,0.011385982,-0.02721489,-0.009965035,0.012848993,-0.082588464,0.016586046,0.095888322
r.bfSC.vnfaces,-0.22707687,-0.147932331,-0.078262527,-0.106273989,0.108575635,-0.114919291,0.095842316
sd.vnfaces,-0.09470398,-0.071222199,-0.075078868,-0.125960881,0.189981072,-0.133852989,0.095441401
sum.ESS,-0.050048082,-0.144150256,-0.147627415,-0.173936165,0.257369574,-0.178344729,0.092576562
mean.veccentricity,-0.088617961,-0.001696987,-0.06067748,0.008759661,-0.140966928,0.01246911,0.087734634
r.rsa.vedge,-0.050039434,-0.084992639,-0.068058258,0.013040906,-0.108181292,0.020959304,0.083018297
r.vsphericitym.wcnSC,-0.022965193,0.086562122,0.00421815,0.039242337,-0.18530417,0.038880856,0.08059572
r.rsa.veccentricity,-0.018593249,0.000350965,-0.053340081,-0.011246648,-0.082773805,-0.011250592,0.079132709
r.bfSC.vsphericitym,-0.48089542,-0.225274725,-0.185656449,-0.143369788,0.135674851,-0.138097429,0.078311163
mean.LSS,-0.016214113,-0.00498911,-0.006615122,-0.06255414,0.12007645,-0.0626685,0.076396931
r.bfSC.hbe,-0.036621273,0.034698197,0.025205058,-0.039319891,0.024079868,-0.042897892,0.067552185
sd.rsa,-0.073279352,-0.075952994,-0.085193754,-0.02620143,-0.051361796,-0.02379857,0.066716179
sd.bfSC,-0.179666386,-0.062069509,-0.052643409,-0.042634997,0.028424207,-0.053702876,0.063585099
sd.vedge,-0.042299805,0.033030128,-0.04169909,0.027631579,-0.142134182,0.032121826,0.061480625
sum.bfSC,-0.204558599,-0.179517851,-0.124557022,-0.134871707,0.22055576,-0.142483832,0.061395184
r.vedge.vnfaces,0.008951575,-0.094782849,-0.058379778,-0.116091803,0.171853147,-0.135719544,0.058087965
mean.BSS,0.058921681,0.042194843,0.03687216,-0.040978418,0.09128123,-0.04062401,0.053193303
sd.vnfacescc,-0.09899837,-0.107480677,-0.054834639,-0.084728429,0.140204532,-0.09581997,0.052735422
r.vvolume.wcnSC,-0.061021873,-0.108116883,-0.064628792,-0.14531784,0.204623009,-0.158880593,0.051837636
r.ddgent.veccentricity,-0.073582996,0.001306588,-0.036825017,0.022869236,-0.024280982,0.025055208,0.046665177
sd.vsphericity,-0.011183553,0.076364425,0.022336874,-0.000231348,-0.086706714,-0.000782113,0.045942216
median.vnfacescc,-0.018501724,-0.049307891,0.005481933,-0.086983621,0.190183365,-0.089601775,0.042788426
r.bfSC.hpshh,-0.087072138,-0.043446028,-0.041271886,0.007577948,-0.02714128,0.011546348,0.041127294
sd.varea,-0.03377675,0.04171355,-0.026419633,0.052158368,-0.16661365,0.057689679,0.040229507
r.varea.wcnSC,-0.070562332,-0.106962774,-0.062341606,-0.13536595,0.198059835,-0.145146958,0.039962669
median.vnfaces,0.014110454,-0.087343854,-0.050483745,-0.132751432,0.222859068,-0.138957452,0.039470398
sd.vvolume,-0.038653452,0.045712183,-0.021972764,0.057851359,-0.173455492,0.063674483,0.035026815
sum.BSS,0.044669276,-0.008825428,0.007113829,-0.087196413,0.183137032,-0.088462282,0.034811079
r.hbe.vnfaces,-0.036663337,-0.128121878,-0.099096956,-0.105432725,0.134865135,-0.112687313,0.033110311
mean.vnfaces,0.006460645,-0.085818129,-0.040041537,-0.11743914,0.235170093,-0.123174194,0.032751459
r.ddgent.varea,-0.058061675,0.047123929,0.019032284,0.056571061,-0.002739366,0.056157001,0.02921815
r.ddgent.vsphericity,-0.016582102,0.062097113,0.023013828,0.031790578,-0.074814659,0.045332299,0.029120879
r.ddgent.vvolume,-0.057595037,0.063416846,0.026718019,0.070872549,-0.018494663,0.077021663,0.028591146
mean.vnfacescc,-0.004208293,-0.089929837,-0.034581877,-0.109469514,0.228733841,-0.113062632,0.028077195
r.ddgent.vnfaces,0.016519007,-0.147117356,-0.072415742,-0.062622903,0.098092697,-0.06596167,0.025427204
sum.rsa,-0.029076187,-0.162182554,-0.088035649,-0.13562753,0.24190152,-0.144044114,0.024008886
sum.LSS,0.015426758,-0.076796598,-0.027877934,-0.106700978,0.237848142,-0.111058856,0.019952247
sum.veccentricity,-0.02442426,-0.118710237,-0.061157264,-0.12431253,0.230215837,-0.13155923,0.019134813
mean.SSS,-0.004201081,0.152180757,0.104842351,0.024940963,0.02118089,0.027391813,0.018425081
sum.hbe,-0.011342612,0.085389009,0.031804401,0.091822054,-0.206657952,0.095946222,0.018042496
r.vsphericity.wcnSC,0.016846312,-0.024819917,-0.028445239,-0.070904096,0.037080025,-0.09045954,0.018037226
r.varea.vvolume,-0.104032809,-0.084357748,-0.076140964,0.023259635,-0.063940007,0.036919659,0.01127951
mean.hbdif,-0.052910282,-0.169656113,-0.134115972,-0.042416164,-0.006711714,-0.039628161,0.00383827
sd.vsphericitym,-0.054024922,0.05888848,0.009059362,0.087215416,-0.21144119,0.093694463,0.003560913
r.rsa.vsphericitym,-0.046746674,-0.183801725,-0.097677323,-0.093900836,0.175711131,-0.105480046,0.002557968
r.hpshh.wcnSC,0.132459646,0.118538041,0.103805405,-0.013490457,0.095883064,-0.014398759,-0.00195331
r.ddgent.vedge,-0.010663021,0.077142594,0.050281298,0.115412219,-0.068982333,0.127579,-0.002619749
mean.nhbon,-0.054539665,-0.096734409,-0.088148239,-0.033113673,0.02359028,-0.022100976,-0.005130408
sum.ddgent,0.005164572,-0.109433987,-0.041463799,-0.10374231,0.219038856,-0.110957464,-0.005874389
sum.vvolume,0.00961407,-0.092541669,-0.032230927,-0.098918187,0.216140439,-0.105192176,-0.006716967
sum.varea,0.010969294,-0.090095431,-0.030426153,-0.098070351,0.215349125,-0.104303591,-0.007960461
sum.vedge,0.015517377,-0.0857156,-0.027151796,-0.095639886,0.213715232,-0.101792944,-0.010260792
sum.vnfacescc,0.024526805,-0.07867861,-0.020603752,-0.091115523,0.211547145,-0.097087187,-0.013251231
sum.hpshh,0.014471055,-0.106104422,-0.027989116,-0.094479205,0.215232136,-0.102308218,-0.01334455
sum.vnfaces,0.020300115,-0.080495242,-0.02238816,-0.091670262,0.210376673,-0.097703051,-0.013849322
r.vedge.wcnSC,-0.012416531,-0.053525422,-0.001219833,-0.084900626,0.177824807,-0.097226458,-0.014442137
nres,0.020231324,-0.080225987,-0.021863264,-0.090629523,0.20917751,-0.096693268,-0.015232316
natoms,0.019573867,-0.086459678,-0.021040165,-0.09099265,0.209292887,-0.098075705,-0.015797376
sum.vsphericitym,0.037080025,-0.07513802,-0.016310006,-0.087703086,0.209433987,-0.094222882,-0.016904148
sum.vsphericitycc,0.02657737,-0.076894158,-0.01765077,-0.087366581,0.207388664,-0.093779904,-0.018293549
sum.SSS,0.030687954,0.028052994,0.054741172,-0.039083275,0.159502546,-0.043031771,-0.019432176
sum.vsphericity,0.023069036,-0.077655239,-0.018427625,-0.086246648,0.204950313,-0.092448341,-0.019906409
sum.nhbon,0.011898886,-0.082912309,-0.02349675,-0.08377528,0.201335273,-0.087331012,-0.022476696
r.hpshh.vvolume,-0.167878174,-0.225411431,-0.147290867,-0.013319575,-0.056751144,-0.017276145,-0.0264893
r.hpshh.varea,-0.154938483,-0.225172196,-0.147744361,-0.017227509,-0.046772964,-0.021090751,-0.028722593
mean.hpshh,0.030930264,-0.095357963,0.042011292,0.0262297,-0.015801309,0.012739896,-0.028727203
median.r4sJC,0.182077133,0.213907145,0.191323151,0.142100005,-0.162187812,0.134370892,-0.02979389
r.veccentricity.wcnSC,0.005602292,-0.081469846,-0.005850728,-0.062190441,0.164894316,-0.072102897,-0.03193517
r.hpshh.vnfaces,-0.018633998,-0.065722435,0.015470056,0.014021505,-0.017528524,0.010363321,-0.032646301
sum.hbdif,0.009711061,-0.11099923,-0.043861788,-0.086289428,0.192622749,-0.091858418,-0.032667285
sd.hpshh,-0.047757506,-0.309194753,-0.143350071,-0.048893212,0.087738577,-0.043418424,-0.032713339
sum.wcnSC,0.042414165,-0.043221252,0.00632131,-0.067458857,0.191940954,-0.072640517,-0.033214154
mean.vsphericitym,0.064389558,-0.054471844,0.002573742,-0.066859456,0.197315842,-0.072849519,-0.033388979
median.hpshh,0.075403278,-0.008541262,0.038951191,0.045340758,0.014439457,0.042942515,-0.033571954
r.hbe.hpshh,-0.024738419,0.016829223,-0.03696698,0.037266681,-0.001059467,0.0417635,-0.035156948
r.ddgent.vsphericitym,0.054601977,-0.03115963,0.018907408,-0.033902939,0.063804616,-0.032426784,-0.041008991
r.hpshh.vedge,-0.154017036,-0.214428992,-0.129964772,0.004007834,-0.069585677,0.001890215,-0.041979074
sd.ddgent,0.195741101,0.365648825,0.204126137,0.115832851,-0.042821652,0.130686419,-0.044777591
r.rsa.wcnSC,-0.074683212,-0.199099585,-0.122732531,-0.086316315,0.170236343,-0.090751354,-0.045785793
mean.hbe,0.024792313,0.079704506,0.135772123,0.077719649,-0.052373942,0.067880803,-0.047774594
r.ddgent.wcnSC,-0.011320259,-0.149734476,-0.051524791,-0.059807298,0.097467007,-0.064463168,-0.047814028
r.bfSC.ddgent,0.431367317,0.225516589,0.162362637,0.115707976,-0.082700195,0.112287712,-0.048026973
r.ddgent.rsa,-0.06740102,-0.035783953,0.020675377,0.074964509,-0.021818971,0.069617225,-0.049419002
r.vsphericity.vsphericitym,0.069325411,-0.042192019,0.013203901,-0.051260582,0.17984384,-0.05910011,-0.051540565
r.hpshh.veccentricity,-0.091682002,-0.197743046,-0.130177717,-0.000466639,-0.045616226,-0.003135023,-0.053948683
median.hbe,0.052378858,0.097680707,0.147274616,0.090163655,-0.050629923,0.080856704,-0.05823419
mean.seqent,0.13744282,0.128476786,0.179948998,0.055391976,-0.100579683,0.030406436,-0.060426416
median.wcnSC,0.086860508,0.027172827,0.057192807,-0.024731847,0.159432673,-0.02710316,-0.061594984
contact_orderSC,0.047338204,0.134558906,0.121736856,0.145586698,-0.195174626,0.151384192,-0.064718855
sum.r4sJC,0.079548083,-0.002100531,0.047998055,-0.017499606,0.133948946,-0.024326989,-0.065539723
nchain,-0.050768276,-0.079139441,-0.015165476,0.039448962,-0.00908822,0.048954249,-0.065585842
sum.TSS,0.089747978,0.035978864,0.071379904,-0.012215144,0.123481943,-0.019448781,-0.065700934
mean.wcnSC,0.092954414,0.036623902,0.062576897,-0.018489405,0.155398549,-0.020583364,-0.068024081
sum.seqent,0.084033072,0.008061675,0.081865503,-0.020052316,0.107595037,-0.035301541,-0.069171618
sum.GSS,0.169145436,0.098663838,0.126661141,0.057951258,0.040201205,0.053637146,-0.069318005
median.seqent,0.143761502,0.136334718,0.191943583,0.07006809,-0.122201483,0.043953415,-0.07324649
r.hpshh.rsa,-0.119735528,-0.217583732,-0.129642726,0.015203218,-0.047180451,0.014300174,-0.076108102
r.vsphericity.vvolume,0.096055261,0.222131816,0.202577685,0.158578264,-0.14527972,0.158615069,-0.082033756
r.ddgent.hpshh,-0.098596141,-0.225734792,-0.114698459,0.0197421,-0.019065145,0.017356328,-0.088692886
r.varea.vsphericity,0.08903465,0.233232557,0.202036122,0.187283769,-0.200662495,0.190865713,-0.092667858
r.bfSC.rsa,0.510542089,0.295164046,0.257328198,0.18785688,-0.159606183,0.184728429,-0.095748988
r.vnfaces.vsphericity,-0.006013723,0.170492665,0.12250907,0.117199905,-0.167691519,0.123092697,-0.098095326
r.bfSC.vedge,0.528255955,0.224578054,0.201888901,0.180440612,-0.153191545,0.17880672,-0.099641148
r.vsphericitym.vvolume,0.111990641,0.05275514,0.099002313,0.011249277,0.125130133,0.002979915,-0.101236921
r.bfSC.varea,0.553998633,0.224277039,0.198133446,0.172281666,-0.129257585,0.169693464,-0.103955255
mean.r4sJC,0.160782638,0.201034492,0.184695568,0.205318366,-0.226602345,0.204917451,-0.107856617
mean.GSS,0.189255004,0.195017191,0.179925874,0.164168098,-0.125711236,0.163328121,-0.108435192
r.vedge.vsphericity,0.113114517,0.19460408,0.189637994,0.13145933,-0.084309112,0.123669751,-0.109151375
r.bfSC.vvolume,0.557112624,0.222091067,0.199394027,0.178462327,-0.135828645,0.177486987,-0.109666649
r.bfSC.veccentricity,0.561194069,0.257414953,0.219487092,0.178738367,-0.14767075,0.17610153,-0.111910458
sd.wcnSC,0.110337031,0.026171197,0.069851201,0.02150744,0.136952521,0.020706925,-0.114007046
r.veccentricity.vsphericity,0.063328776,0.097649719,0.137713602,0.142071087,-0.143001735,0.14203691,-0.114329092
sum.nhbps,0.002828096,-0.015495652,0.0235701,0.028119132,0.069388681,0.044933115,-0.114434288
r.hbe.vsphericity,-0.057010095,-0.022373679,0.035580209,0.081193806,-0.090784216,0.080251328,-0.116856827
r.varea.vsphericitym,0.123480467,0.069301751,0.115601504,0.030558915,0.112417845,0.023607971,-0.11937799
r.vedge.vsphericitym,0.118189705,0.049513644,0.101518219,0.028252011,0.103405805,0.017834797,-0.123366108
mean.nhbps,0.009121867,0.01119732,0.035882455,0.084318245,-0.01737107,0.106673428,-0.131722885
r.veccentricity.vsphericitym,0.106730112,0.012275882,0.086668595,0.026608917,0.101754824,0.019895894,-0.133028813
r.hbe.seqent,0.173978653,0.321741416,0.308168148,0.217982018,-0.258757032,0.19715942,-0.137887113
median.vsphericitym,0.090569956,0.014673484,0.065803933,0.022932331,0.107146801,0.016766129,-0.138702087
mean.TSS,0.179153555,0.278628683,0.22468183,0.169132628,-0.176004722,0.158898099,-0.143810515
sum.HSS,0.029645268,-0.049640575,0.044784703,0.043967723,0.015184787,0.042102406,-0.146230225
r.hbe.vsphericitym,-0.037735948,-0.046825543,0.030247384,0.082031127,-0.060514486,0.081075503,-0.148852463
median.vsphericity,0.083370577,0.01502182,0.074032546,0.030668016,0.09537962,0.023604028,-0.149028603
mean.vsphericity,0.088101372,-0.015099374,0.055282875,0.031526368,0.101378884,0.027611862,-0.150984542
nseq,0.174131285,0.0134535,0.032120853,0.092755835,-0.037023013,0.101078324,-0.154560957
sum.helix,0.051089896,-0.027605449,0.068404673,0.05971968,0.00648384,0.056476774,-0.156830707
mean.HSS,-0.002520515,-0.028731898,0.054414861,0.114844124,-0.149862522,0.117200986,-0.159653424
sum.nhbpa.dif,-0.01914443,0.092344299,0.107655373,0.160145789,-0.143526037,0.180124328,-0.160830035
mean.nhbpa.dif,0.003023327,0.067931535,0.108505901,0.147428611,-0.109976816,0.167165023,-0.162930393
r.r4sJC.seqent,0.02180714,0.112900258,0.069647458,0.191203533,-0.169020453,0.205750828,-0.169096693
sd.r4sJC,0.038435249,0.023625059,0.018112151,0.170537357,-0.142893948,0.189598559,-0.175730848
mean.helix,0.034983472,0.010870062,0.086808014,0.142480029,-0.172574307,0.144725155,-0.17590979
median.vsphericitycc,0.099679268,0.040930123,0.074241548,0.090263684,0.023993112,0.094425312,-0.178234923
r.vnfaces.vsphericitym,0.041315264,0.144795993,0.143655029,0.140456912,-0.08580367,0.14511804,-0.182772491
r.vnfaces.wcnSC,0.01778879,0.148368737,0.143279089,0.164538093,-0.12491193,0.178534623,-0.198118986
r.hbe.wcnSC,0.035460592,-0.018560387,0.05546953,0.108419212,-0.033225985,0.109641674,-0.211938062
sd.seqent,0.077447552,0.089793102,0.10295494,0.210276566,-0.181074189,0.223351648,-0.215798675
mean.vsphericitycc,0.089697145,0.032421526,0.095236343,0.11092986,-0.013127662,0.107863189,-0.223193911
